site_id,latitude_deg,longitude_deg,g_i,geopolitical_allowed,excluded_zone,exclusion_reason
grid-00093,-28.0,112.0,1,True,,
grid-00094,32.0,12.0,1,True,,
grid-00095,-20.0,48.0,1,True,,
grid-00096,44.0,44.0,1,True,,
grid-00097,-12.0,32.0,1,True,,
grid-00098,8.0,128.0,1,True,,
grid-00099,68.0,92.0,0,False,russia_belarus,sanctions_and_operating_approval_risk
grid-00100,28.0,-168.0,1,True,,
grid-00101,-44.0,132.0,1,True,,
grid-00102,-56.0,-56.0,1,True,,
grid-00103,12.0,-40.0,1,True,,
grid-00104,76.0,176.0,0,False,russia_belarus,sanctions_and_operating_approval_risk
grid-00105,28.0,-52.0,1,True,,
grid-00106,16.0,0.0,1,True,,
grid-00107,52.0,180.0,0,False,russia_belarus,sanctions_and_operating_approval_risk
grid-00108,4.0,40.0,1,True,,
grid-00109,64.0,-104.0,1,True,,
grid-00110,24.0,120.0,0,False,china,market_access_and_licensing_risk
grid-00111,-20.0,16.0,1,True,,
grid-00112,-24.0,-52.0,1,True,,
grid-00113,20.0,-116.0,1,True,,
grid-00114,48.0,4.0,1,True,,
grid-00115,16.0,-64.0,1,True,,
grid-00116,16.0,28.0,1,True,,
grid-00117,44.0,100.0,0,False,china,market_access_and_licensing_risk
grid-00118,0.0,-48.0,1,True,,
grid-00119,28.0,-100.0,1,True,,
grid-00120,-20.0,128.0,1,True,,
grid-00121,48.0,-112.0,1,True,,
grid-00122,-48.0,-68.0,1,True,,
grid-00123,28.0,48.0,0,False,iran,sanctions_and_operating_approval_risk
grid-00124,28.0,24.0,1,True,,
grid-00125,-28.0,40.0,1,True,,
grid-00126,20.0,-76.0,0,False,cuba,sanctions_and_operating_approval_risk
grid-00127,32.0,-16.0,1,True,,
grid-00128,32.0,80.0,0,False,china,market_access_and_licensing_risk
grid-00129,36.0,160.0,1,True,,
grid-00130,-28.0,-72.0,1,True,,
grid-00131,64.0,116.0,0,False,russia_belarus,sanctions_and_operating_approval_risk
grid-00132,52.0,56.0,0,False,russia_belarus,sanctions_and_operating_approval_risk
grid-00133,40.0,-96.0,1,True,,
grid-00134,32.0,128.0,0,False,china,market_access_and_licensing_risk
grid-00135,36.0,-128.0,1,True,,
grid-00136,-32.0,140.0,1,True,,
grid-00137,44.0,-12.0,1,True,,
grid-00138,36.0,-60.0,1,True,,
grid-00139,76.0,72.0,0,False,russia_belarus,sanctions_and_operating_approval_risk
grid-00140,68.0,156.0,0,False,russia_belarus,sanctions_and_operating_approval_risk
grid-00141,64.0,-52.0,1,True,,
grid-00142,48.0,144.0,1,True,,
grid-00143,44.0,-152.0,1,True,,
grid-00144,48.0,72.0,1,True,,
grid-00145,60.0,-136.0,1,True,,
grid-00146,64.0,48.0,0,False,russia_belarus,sanctions_and_operating_approval_risk
grid-00147,68.0,-156.0,1,True,,
grid-00148,-4.0,4.0,1,True,,
grid-00149,0.0,-8.0,1,True,,
grid-00150,0.0,-80.0,1,True,,
grid-00151,56.0,84.0,0,False,russia_belarus,sanctions_and_operating_approval_risk
grid-00152,56.0,-80.0,1,True,,
grid-00153,16.0,148.0,1,True,,
grid-00154,8.0,80.0,1,True,,
grid-00155,-16.0,-8.0,1,True,,
grid-00156,-4.0,36.0,1,True,,
grid-00157,-12.0,-68.0,1,True,,
grid-00158,-12.0,20.0,1,True,,
grid-00159,24.0,4.0,1,True,,
grid-00160,8.0,108.0,1,True,,
grid-00161,12.0,60.0,1,True,,
grid-00162,-12.0,52.0,1,True,,
grid-00163,12.0,136.0,1,True,,
grid-00164,20.0,164.0,1,True,,
grid-00165,28.0,60.0,0,False,iran,sanctions_and_operating_approval_risk
grid-00166,-32.0,152.0,1,True,,
grid-00167,-32.0,-12.0,1,True,,
grid-00168,-24.0,-4.0,1,True,,
grid-00169,12.0,48.0,1,True,,
grid-00170,12.0,20.0,1,True,,
grid-00171,-16.0,-48.0,1,True,,
grid-00172,12.0,-8.0,1,True,,
grid-00173,-12.0,124.0,1,True,,
grid-00174,-16.0,144.0,1,True,,
grid-00175,28.0,108.0,0,False,china,market_access_and_licensing_risk
grid-00176,52.0,132.0,0,False,russia_belarus,sanctions_and_operating_approval_risk
grid-00177,40.0,32.0,1,True,,
grid-00178,-32.0,-48.0,1,True,,
grid-00179,32.0,180.0,1,True,,
grid-00180,16.0,124.0,1,True,,
grid-00181,20.0,-96.0,1,True,,
grid-00182,-16.0,40.0,1,True,,
grid-00183,20.0,-152.0,1,True,,
grid-00184,16.0,172.0,1,True,,
grid-00185,16.0,-124.0,1,True,,
grid-00186,36.0,-72.0,1,True,,
grid-00187,-36.0,116.0,1,True,,
grid-00188,44.0,-64.0,1,True,,
grid-00189,36.0,96.0,0,False,china,market_access_and_licensing_risk
grid-00190,-44.0,-56.0,1,True,,
grid-00191,40.0,8.0,1,True,,
grid-00192,48.0,-168.0,1,True,,
grid-00193,40.0,148.0,1,True,,
grid-00194,40.0,124.0,0,False,china,market_access_and_licensing_risk
grid-00195,64.0,-4.0,1,True,,
grid-00196,64.0,28.0,0,False,russia_belarus,sanctions_and_operating_approval_risk
grid-00197,60.0,164.0,0,False,russia_belarus,sanctions_and_operating_approval_risk
grid-00198,44.0,-124.0,1,True,,
grid-00199,-24.0,136.0,1,True,,
